Show,Sentiment,Review
Mare of Easttown,1,"It constantly surprises and overwhelms you, but all within a homogeneous narrative that remains honest and consistent with itself and with its viewers. [Full review in Spanish]"
Mare of Easttown,1,The willful griminess and funk of the first episode might turn you off but stick with the show as Mare investigates the murder of a young woman and the disappearance of two others.
Mare of Easttown,1,"It has become a hipster's Line of Duty, shunning the over-the-top dramatics in favour of grit, decay and the sheer misery of small town detective work."
Mare of Easttown,1,"It was a slice of perfection, a love letter to post-industrial Pennsylvania, face ground into the gutter and not even daring to look at the stars."
Mare of Easttown,1,"The show is steeped in the classic hard-boiled world of good old-fashioned policing. But it is the characters we care about, even though they appear deficient when displaying emotion."
Mare of Easttown,1,Just seven episodes have been necessary to hook us with a case full of surprises and a town with a multitude of inhabitants to remember. [Full Review in Spanish]
Mare of Easttown,1,"A riveting piece of fiction, with its non-stop spate of red herrings, well-timed pockets of intrigue, and a whole array of dodgy suspects."
Mare of Easttown,1,"That rare, confident series which jumps off the screen, fully formed."
Mare of Easttown,1,"The real TV event of the week, as with last week and certainly with next week, is Mare of Easttown."
Mare of Easttown,1,"As Mare, Kate Winslet crackles in a role we haven't seen from her in her decades long career."
Mare of Easttown,1,Mare of Easttown is a compelling show. It dives into these characters in a way that feels engaging and satisfying.
Mare of Easttown,1,"While the pacing is spotty, and the end is predictable, the twists and turns throughout will keep viewers guessing."
Mare of Easttown,1,"The miniseries doesn't simply adopt the grammar of the classic mystery, it constructs a warped, crumbling universe around it instead."
Mare of Easttown,1,"The success of the series is due in large part to Kate Winslet, who gives us a sublime performance. [Full review in Spanish]"
Mare of Easttown,1,"The mystery of who killed Erin McMenamin gave the show its plot, but over the course of seven episodes, it became clear that the series was most interested in exploring the contradictions and conundrums of motherhood."
Mare of Easttown,1,"Mare of Easttown worked because of everything it wasn't: it wasn't a glossy book to TV adaptation, aka Big Little Lies, and it wasn't wig and coat acting, aka The Undoing. It was rooted firmly in the believably domestic."
Mare of Easttown,1,"The show is equally drab and riveting, claustrophobic and caustic."
Mare of Easttown,1,"With her regional accent prominent, [Kate Winslet] invests one of her rare television performances with such a vivid interior life that Mare's watchfulness and intractability have a telling openness."
Mare of Easttown,1,"I like almost everything about this hero, from the nuanced and thoroughly engaging performance of Kate Winslet to the sociology of gender, social class, family, small-town policing and sports that is richly explored through this troubled character."
Mare of Easttown,1,"HBO's latest prestige crime procedural, Mare of Easttown, scratches the itch for gritty, well-produced drama, neatly filling the hole left by other offerings like True Detective but with a much-needed tweak."
Mare of Easttown,1,"Mare of Easttown explores the repression of the American male of a certain class and race, with little fetishizing."
Mare of Easttown,1,"HBO's Mare of Easttown is constructed around a familiar, virtually surefire plot: a shocking crime in a small town leads to an investigation that ultimately reveals every major local scandal in an astoundingly errant community. And it works."
Mare of Easttown,1,"Kate Winslet may be the star, but it's the ensemble here that makes her new murder mystery series stand out from those that are pure logic puzzles or that focus strictly on killers or detectives."
Mare of Easttown,1,"On the Granger Gauge of 1 to 10, ""Mare of Easttown"" is an intriguing 8."
Mare of Easttown,1,"Mare of Easttown might be confined by its played-out genre, but it also provides new turns on a familiar song."
Mare of Easttown,1,"The plot gets going and Winslet makes the most of a role that in lesser hands could be a collection of tropes (in episode two, grouchy Mare is paired with a hotshot young detective brought in from out-of-town)."
Mare of Easttown,1,"Mare Of Easttown is, more than anything else, a tour de force for its star, Kate Winslet, who owns this series, top to bottom."
Mare of Easttown,1,"Every good murder mystery must feature a range of viable suspects, and Mare of Easttown does a great job of establishing a handful of red herrings both expected and not."
Mare of Easttown,1,"Winslet is utterly mesmeric, shorn of any glamour, make-up-free and permanently sour-faced, dressed in a shapeless lumberjack shirt that does her no favours at all and looks as if it needs a boil wash."
Mare of Easttown,1,"As the twists and turns of the cases are revealed, it becomes a show greater than the sum of its already considerable parts"
Mare of Easttown,1,"It is a performance that will undoubtedly get [Kate Winslet] awards season recognition next year, a circuit that is familiar ground for her. But great work never gets old."
Mare of Easttown,1,"For a work about a neglected corner of America, there's none of the sneering critique of Hillbilly Elegy or the ludicrous rivalries of Ozark. Instead, Mare of Easttown is just a subtle, textured portrait of a place where some people are suffering."
Mare of Easttown,1,"I like Winslet's performance. Its fearlessness might be predictable -- doesn't every actor long to look this bad, while sounding this good? -- but her pugnacious attention to detail makes it very enjoyable to watch."
Mare of Easttown,1,"With all the elements of a great mystery, led by a talented force, the series has everything needed to grip audiences and become our next tv obsession."
Mare of Easttown,1,"Its star will get most of the attention, but it is well acted throughout."
Mare of Easttown,1,"Kate Winslet undergoes one of her best transformations on screen since playing the frustrated suburban wife in ""Revolutionary Road."""
Mare of Easttown,1,"Without Winslet, Mare of Easttown's first episode is just another entry in a long list of high-profile crime dramas. Winslet makes it a compelling character study that I'm looking forward to unpacking over the next 6 weeks."
Mare of Easttown,1,"Mare of Easttown wallows, but it takes its wallowing seriously. It's a cunningly crafted mystery series, anchored by an awesome Kate Winslet performance, that manages to evade most cliches."
Mare of Easttown,1,"We've probably seen enough of this particular type of story that we can't get truly excited over these conventions anymore, but Mare of Easttown's direction is sharp, its writing is observant, and its star is giving yet another fantastic performance."
Mare of Easttown,1,"New from HBO, Mare of Easttown is a fine addition to this lineage, thanks to a superb and surprising lead performance from Kate Winslet and excellent work from the show's writer and creator Brad Ingelsby."
Mare of Easttown,1,"Winslet is clearly the workhorse of this production. In Mare Sheehan, she has found an ideal vessel to channel every trick she has."
Mare of Easttown,1,"In its rock-solid sense of place, though, Mare of Easttown sticks to at least one infallible rule: Inglesby is clearly writing what he knows..."
Mare of Easttown,1,"Ingelsby has crafted a terrific character study that's even better as a slow-burning thriller, with the tone of a moody British mystery transplanted to the Northeast."
Mare of Easttown,1,"Mare of Easttown is designed to be a limited series, so the self-contained aspect helps heighten both the character development and mystery-driven aspects of the series."
Mare of Easttown,1,"It's both moody and atmospheric like the slow-burning Top of the Lake or True Detective, while being as propulsive as a Dan Brown paperback. By taking the best elements of both and dumping the rest, Mare of Easttown is unstoppable."
Mare of Easttown,1,"The way Kate Winslet realizes Detective Mare Sheehan persuades you to stick with it past its glum first hour. If you manage to do this, the show just might grow on you."
Mare of Easttown,1,Has the makings of a great HBO mystery series.
Mare of Easttown,0,"Gone are the days when HBO would produce only outright classics targeted at discerning audiences - in the streaming age, a wider clientele must be catered to."
Loot,1,"Ultimately, Loot is a fine show, and given the dearth of light, half-hour comedies, it’s a welcome one... Given the talent in front of the camera, as well as behind it, it’s still disappointing that there is this much talent behind so little depth."
Loot,1,The magnetism Maya Rudolph transmits is sufficient motive to stay attentive to this series.   [Full review in Spanish]
Loot,0,The greatest crime of Loot is how much it fails its leading lady.
Loot,1,"While certainly imperfect and the beginning not always smooth, Loot is a comedy with tremendous promise that deserves a chance to earn return viewership."
Loot,1,"It takes Rudolph's adaptability, her willingness to play the joke and also unpack it, her presence, and her charm to anchor the show's parody and empathy in tandem."
Loot,1,"'Loot' feels like a missed opportunity, as it burns through precious screen time establishing aesthetics, rather than focusing on character creation. Leaving a supremely strong cast to deliver depth, while story falls by the way side."
Loot,1,"Loot is a very watchable, and funny-enough show. But we just want a Maya Rudolph series to really make its star a tour de force"
Loot,0,"While it has plenty of funny moments, it’s a hard pill to swallow to muster much sympathy for a character that literally has everything she wants."
Loot,0,"The Apple TV+ series has a concept and a star that practically commands you to pay attention, but the show fails to build on its foundation and is an imperfect showcase for Rudolph’s talents."
Loot,1,Loot is yet another project unworthy of the former SNL star’s considerable talents.
Loot,1,Loot has real potential to be something special.
Loot,1,Maya Rudolph is priceless in Loot.
Loot,1,"Loot sounds like a one-note joke on paper... Stick with it, though, and this showcase for Maya Rudolph as a billionaire minted through divorce becomes a sweet if fairly conventional romantic comedy with a few welcome surprises."
Loot,1,"Philanthropy as a whim? It’s funny enough, and it gives Rudolph plenty of room to play grandiose while simultaneously making fun of filthy rich people’s lives."
Loot,0,"It’s only thanks to Rudolph’s ability to balance winsomeness, befuddlement, and sincerity that Molly isn’t utterly infuriating, and even with that in mind, Loot overestimates how much of the character viewers will be willing to tolerate."
Loot,1,Maya Rudolph makes being mega-rich look fabulous as a benevolent but clueless billionaire trying to do good on 'Loot.'
Loot,1,"Hilarious scenarios of work and play, growing comradeship, and Molly’s gradual recognition of who she really is, and dropping the artifice of her former life make for a charming, engaging three hours."
Loot,1,"The cast holds its own and makes Loot an easy watch, with the season finale perfectly setting up what could potentially be a far more uncompromising future of the show."
Loot,1,Is it a bit preachy? Kind of. Does it hedge its bets? Often. But by the end of the series it has done enough to make you care about its characters.
Loot,1,"It’s a breezy, gag-filled comedy with just enough absurdity to satisfy."
Loot,1,Loot feels like two polar opposite shows grafted into one awkward enterprise that doesn’t fit. What exists is a sitcom that’s far below the talents of everyone involved. It’s not bad; it’s just a show with a hefty production budget but no depth.
Loot,1,Makes you fall in love with their flawed characters.
Loot,1,"Its ethical journey finally delivers a pretty solid pay-off, but I can’t help feeling it would have been more persuasive had it delivered a few more gags along the way."
Loot,0,"The talented cast, glossy production sheen, and pop culture savvy jokes make the ten 30-minute episodes an easy watch. Unfortunately, Loot can’t stop the glimmer from fading."
Loot,1,Rodriguez brings the same heartfelt emotion to Sofia that made her the most likable character on FX’s Pose and her chemistry with Rudolph proves magnetic. It’s the most unexpected but welcome odd-couple pairing of the summer TV season so far.
Loot,1,"Comedy shows have gotten a little dark of late,with bleak scenarios or introspective sad-com direction replacing belly laughs. However,Alan Yang & Matt Hubbard have crafted a charming venture that effectively utilizes its strong ensemble to maximum impact"
Loot,1,"The further the show goes on, the richer Molly, her support ensemble and her story seem to get."
Loot,0,"Though Loot has a more-than-capable lead performer and a talented ensemble surrounding her, this Apple TV+ comedy digs a narrative hole for itself that it takes an entire season to climb out of."
Loot,1,"On paper, Loot, the new AppleTV+ comedy series, sounds like a sure-fire home run. Unfortunately, after watching the ten-episode first season of the series, this isn’t the home run I was hoping for – just a solid double."
Loot,1,"Bubbly and beautiful to look at, the Apple TV+ series from Matt Hubbard and Alan Yang gets a gratifying boost from its eccentric ensemble cast."
Loot,1,"With a stellar cast, Loot is electrically hilarious. It’s fun, introspective, and hits all the right notes. The series manages to take the workplace comedy, twist it, and come out the other side with something unique..."
Loot,1,"There's a lot to enjoy about Loot, starting with its timely narrative and solid showcase for some of Maya Rudolph's myriad skills. At the same time, it's very much a show you'll keep watching more for its potential than its immediate execution."
Loot,1,"Loot is a pleasant enough viewing experience, with a few sharp one-liners and a truly top-notch cast. But it’s also slightly disappointing, hampered by repetitive plot dynamics and a confused tone."
Loot,0,"Because [Rudolph] can do almost anything, a temptation exists to create roles that allow her to do everything. And that can result in a tonal jumble like Loot, which feels like a lot of great raw material in search of a series to make sense of it all."
Loot,1,Loot is most often a pleasantly frictionless workplace comedy. But the moments in which it’s not are the show’s most compelling by a long shot.
Loot,1,"A Funny, Surprising Series With A Great Lead Role For Maya Rudolph."
Loot,1,They each serve a purpose that allows dimension for Molly when she’s still operating on only two. It’s oddly refreshing.
Loot,1,"Rudolph understands this character, her struggles and her high-points, and brings her usual charm and hilarity to the role."
Loot,1,Loot is a heartfelt Ted Lasso meets The Office-style comedy complete with various layers of odd-couple dynamics that most certainly do not disappoint.
Loot,1,"The supporting cast is terrific, though my eyes were constantly on Maya Rudolph. ... Her presence and performance galvanizes the consistently funny and insightful series."
Loot,0,"Not every show about the ultra-wealthy needs to be as biting as Succession, but Loot too often comes off as entirely toothless."
Loot,1,"Rudolph's character could use a little more comeuppance to make the series work even better, but it's a strong start to a show that balances silly and serious."
For All Mankind,1,"There are high highs, but low lows. Overall however, this is the best season yet."
For All Mankind,1,"Three seasons in, For All Mankind makes a compelling case for its existence in the vast television landscape. [...] The epic scope of space travel and exploration plays perfectly off of the intimate relationship between these complicated characters."
For All Mankind,1,"Three seasons deep and For All Mankind is as reliably good as ever and a perfect showcase for the mature, well-formed storytelling that has informed much of Apple TV+'s original programming."
For All Mankind,1,One of the best series on television returns with a blow-out premiere and an excellent season to come.
For All Mankind,1,"[The premiere] still has time for a high-stakes Poseidon Adventure-style crisis that’s genuinely tense, emotional, and fully grounded in the things that have come before."
For All Mankind,1,"The characters are richly drawn, and we are able to invest in them over their lifetimes (some of which are longer than others). If you liked Gravity, this is like that, only with characters we've gotten to know and (mostly) love over three seasons."
For All Mankind,1,"“For All Mankind” is a mission worth continuing, with speculations about the past and future that also make it a wonderful stimulant for the imagination."
For All Mankind,1,"… the best kind of cinematic television. It looks, feels, and moves like a movie, and the writing, acting and production is some of the best on the small screen.”"
For All Mankind,1,"Around every corner, For All Mankind finds fraught geopolitical and interpersonal dynamics."
For All Mankind,1,The space race sets its sight on Mars in the thrilling third season of the fascinating alt-history drama.
For All Mankind,1,"One of the best Sci-Fi premises that we can enjoy year after year, even though it sometimes stumbles trying to be more melodramatic than it should.  [Full review in Spanish]"
For All Mankind,1,"The third season of the alt-history series reinforces that 'For All Mankind' is not just an entertaining drama, but a truly great one..."
For All Mankind,1,"If you have been on board already, season three proves as addictive as season two, albeit slightly more heightened because the technology of this timeline’s 1990s is advanced beyond space-faring technology then or now."
For All Mankind,1,Much of For All Mankind’s third season retains the show’s best qualities.
For All Mankind,1,"If you liked the first two seasons, the third keeps up the momentum."
For All Mankind,1,"After two seasons of relative obscurity, maybe it is time an unheralded masterpiece finally achieves blast-off."
For All Mankind,1,"In the endless barrage of mediocre series pushed out weekly, ""Mankind"" stands out, a shining star (or moon or planet) among the replaceable rest."
For All Mankind,1,"Old and new rivalries add to the tension, and For All Mankind’s ambitious journey into the ‘90s is incredibly satisfying."
For All Mankind,1,"Always an engaging, entertaining, and often bizarre glimpse into the multiverse of possible roads not travelled in recent history."
For All Mankind,1,"The action remains as relentlessly heart-pounding as ever, and it's made all the more potent by the care the show takes to build intimate connections between characters."
For All Mankind,1,For All Mankind remains competence porn of the highest order -- and the best show you’re probably not watching.
For All Mankind,1,"At its best -- which it still so often is -- For All Mankind is able to present so many different, exciting movies at the same time that the missteps stick out more than they would on a series not trying to do as much, let alone as widely capable."
For All Mankind,1,"As a combination of wish fulfillment bolstered by good writing, superb direction, and sterling performances, For All Mankind continues to soar."
For All Mankind,1,"Effective in its quiet moments and in the sequences where catastrophe strikes, For All Mankind still struggles with that middle ground."
For All Mankind,1,"The power of For All Mankind is that it makes space both unreachable and attainable simultaneously. It’s a serious and gritty show, but through all of that darkness and real-world drama, there’s genuine excitement."
For All Mankind,1,"It seamlessly balances science fiction and period drama, understated storytelling and pulpy soap opera beats. I have screamed watching For All Mankind. I have howled in laughter. I have leapt up out of my chair and paced around the room."
For All Mankind,1,"This is a completely competent, well-made season of television with some stellar performances and good story arcs. But it’s just not up to the high level I was hoping the series would maintain moving forward."
Severance,1,"Not so fond of the corporate treadmill? As it immerses, engages and intrigues, Severance truly understands."
Severance,0,"If the series wants to tackle the exploitation of labor, even in its own exaggerated way, it usually helps when the authoritarians' methods of oppression make sense—logically and emotionally..."
Severance,1,"It's a marvelous irony that this allegory to technocratic messianism is being produced and broadcasted by the same company that subbed out the holy cross for a bitten apple, and God, for Steve Jobs. [Full review in Spanish]"
Severance,1,"Black Mirror meets Eternal Sunshine of the Spotless Mind in a gender bender series with incredible aesthetics and a captivating story that borrows Sci Fi elements to tackle memories, affection, boredom, work routine and corporative bureaucracy."
Severance,1,"A combination of a psychological thriller, and dark comedy, amid a treasure trove of science-fiction components; Severance is a mind-bending delight. One of the year's best new series."
Severance,1,"A work of terrific imagination and confidence: THX-1138, Brazil, and How to Succeed in Business Without Really Trying swirled together into a deranged sweet-and-savory concoction."
Severance,1,Incredibly thought-provoking on the nature of consciousness and the dangers of the dis-integrated self.
Severance,1,"Stiller, who directed six of the show’s nine episodes, is emerging as a preëminent television auteur."
Severance,1,"It feels like watching a master magician work your expectations and misdirect you flawlessly, only to reveal something so unexpected that it makes you briefly question the nature of reality."
Severance,1,Was that one of the best season finales… ever?
Severance,1,"Severances ingenious premise, stellar production values, and top-shelf performances make it a workplace show youll want to punch in for."
Severance,1,"With Severance, Apple has the best new show on television, an addictive, dark comedydrama that delivers a fascinating, weird, and haunting deep dive into our psyche that makes us beg for more."
Severance,1,"At once minimalist and epic, an increasingly tense exploration of free-will and corporate sadism. It gains a thriller-like momentum as it moves along, and can be disturbing enough to be nightmarish, yet still maintains a modicum of mischievous wit."
Severance,1,"""Intelligent and intriguing. Intelligent and intriguing. We imagine the hell and we created it.""  Full Review in Spanish -Letras Libres"
Severance,1,"This show has it all: murder, mystery, intrigue, love, and twists and turns--many of which you never see coming and those that you do, you sit on the edge of your seat attempting to will it to happen or not-- and at the core of it all is power & greed."
Severance,1,It combines the paranoia of a '70s thriller with the dehumanizing vastness of Stanley Kubrick's visionary stories of characters becoming overwhelmed by the environmental forces engulfing them.
Severance,1,"I’m enjoying the ride — or at least, I began to once I pushed through the first couple of hours that set up the premise."
Severance,1,"The show’s otherworldly, Kaufmanesque aesthetic, from Jeremy Hindle’s corporately brutal production design to Theodore Shapiro’s eerie score, belies a great humanity."
Severance,1,"As tooth-grindingly painful as it would be to not uncover every facet of this unsettling mystery over the coming weeks, I’m invested enough in this dark satire to have patience to see out Erickson’s long-term vision, even if it means more work for us."
Severance,1,"Severance is one part office drama and two parts character study, with dashes of psychological thriller thrown in. As a premise, it takes the idea of workplace politics and chops them into chunks, before turning that into a frappe."
Severance,1,It's probably one of the best shows that's been put on AppleTV+ since Ted Lasso.
Severance,1,"Giving a whole new meaning to the term work life balance, season one explores a unique take on the thriller genre. A bit of a slow burn right from the very start, but eventually picks up the pace about halfway through."
Severance,1,"Ben Stiller’s excellent new limited series, Severance, turns the corporate workplace into the setting for a new and timely subgenre: “job horror.”"
Severance,1,"While the pace of the show is definitely slow, the building tension only contributes to it's eerie, antiseptic tone. The underlying dark humor is also delightful."
Severance,1,"Severance is many things: a workplace satire, a mystery box show, a meditation on memory and grief. But its most poignant commentary is in how the show artfully captures the experience of working while the world burns around you."
Severance,1,Severance is about much more than satire.
Severance,1,"I can forgive Severance a lot because it’s easily the most fun of the metaphysical, have you ever questioned the nature of your reality mystery-box shows that have popped up over the past few years."
Severance,1,Stiller is doing some of his best work yet directing these TV projects. Adam Scott is terrific here.
Severance,1,"A meditative, existential buzzkill. Moments of humor exist, but they are quickly quashed. The show is expertly crafted, mind you. Every shot is deliberate, crisp, and polished. It knows exactly what it wants to be, esthetically."
Severance,1,"It explores who we really are, a spiraling absurdist Twilight Zone...the space is probed and drives the narrative forward."
Severance,1,"Under its genre thrills, Severance contains a poignant message — forgetting may be a convenience, but remembering is a luxury."
Severance,1,"“Severance” has much to say about the idea of slaving away at an office, but it balances work and play very well with the way it teases us into deciphering its puzzles."
Severance,1,"It’s hardly the first satirical take on office life but slick direction and an endlessly compelling, frequently weird premise make Severance worth calling in sick for."
Severance,1,"The premise is unique and its refreshing to see something so different on screen. That being said, you have to be willing to open your mind to not knowing whats going to happen next."
Severance,1,"Artfully framed, spookily scored, and acted with deadpan wit."
Severance,1,"Severance takes an unsettling deep dive into the question of can we really separate work from life? It's eerie to the max and the mystery builds to a brilliant crescendo. The performances, design, and score all amplify the clever story. We want more."
Severance,1,"If you’re looking for an enthralling new mystery with a distinct visual style to dive into, Severance is a must-watch show."
Severance,1,"The show goes to some bleak places, but with each twist -- of the show, or its philosophical knife -- it’s also increasingly compelling."
Severance,1,"As high concept television goes, Severance is pretty lofty, but its ambition is compelling -- not least because it might just be the bulls--- jobs backlash we’ve been waiting for."
Severance,1,"The real joy (and horror) of Severance is in its constantly expanding mythos, each episode offering a new puzzle piece, these new bits of knowledge perfectly doled out, that allows for a broader understanding of the whole."
Severance,1,Severance becomes the best kind of TV surprise: one that rewards early patience with a real knockout of a back half.
Severance,1,The chilling two-episode premiere uses a clever premise and excellent cast to set up an intriguing mystery that leaves plenty of room for the characters to evolve.
Severance,1,"At first blush, the titular concept of the new Apple TV+ series is “work-life balance” taken to the extreme. Yet the further ‘Severance’ goes, the more resonance it acquires."
Severance,1,"It’s all a little heady, but delivered with a hefty amount of style to help the world building go down. Most of the series is directed by Ben Stiller, and imbued with a quiet, odd-ball humor."
Severance,1,"You will never think of work-life balance the same way EVER, seeing the first episodes of this eerie psychological sci fi drama."
Severance,1,"Not just one of TVs best sci-fi satires, but an all-timer in both genres for any medium. Let’s just say George Orwell and Mike Judd would both love this new Apple+ series."
Severance,1,"It's a crackerjack premise brought to life by a uniformly excellent ensemble, and those are reasons enough to watch this corker of a series."
Severance,1,"Severance is classic slow-burn TV, lulling you with its hypnotic weirdness before piling on the twists."
Severance,1,Benefits from rich world-building and droll humor about office perks and morale.
Severance,1,"Expertly acted and absorbing (if not especially fast paced), Severance is so calibrated to current-day anxieties that I couldn’t stop watching it."
Severance,1,"The lure of 'Severance' is watching actors I enjoy figuring out how to fight their way out of a paper box that grows more mysterious, and possibly even completely inscrutable, as time passes."
Severance,1,"'Severance' is smart and stylish television, though it may suffer from a certain amount of impenetrability."
Severance,1,"Walking a fine line between absurdist satire and suspense, Severance feels like a workplace comedy by George Orwell."
Severance,1,Severance is a strikingly thoughtful meditation on the way that work functions as a prison.
Severance,1,"Severance is a visually fascinating work of art, an enthralling mystery, and an anticapitalist takedown of toxic labor practices; it's the first must-watch Apple TV+ show of the year."
Severance,1,"Severance is part workplace satire, part dystopian thriller – a combination that is hard to pull off, but writer Dan Erickson has managed it."
Severance,1,"An impressively idiosyncratic thing, wholly itself and confident in its mission to make your mind implode."
Severance,1,Really spooky fabulous.
Severance,1,"If Hell was a Staples breakroom, it's exactly what Severance would try to get you out of. It's a must-watch."
Severance,0,"The season finale is genuinely exciting and suspenseful, but, really, even as an advocate of slow television, we might have got there in half the time with twice the effect."
Severance,1,"A very stimulating head trip of a social sci-fi that’s willing to plumb its poignant premise for as much eerie intrigue as possible, and I’d highly recommend jumping on board."
Severance,1,"Confidently written, stylishly directed... every well-paced episode fits into the overall puzzle, character arcs are thoughtfully conceived, and the oddities and eccentricities of the central mystery are given space to unfurl."
Severance,1,"Lock yourself in with this one. It’s got something. And if Apple TV cancels Severance after one season, we riot."
Severance,1,"If Severance is renewed for a second season, it should have ample room to explore those rich topics. In the meantime, as we ponder its big ideas, it’s our investment in the characters that should keep viewers in the show’s orbit."
Severance,1,"The new Apple TV+ sci-fi series is brilliantly unsettling, with captivating lead performances by Adam Scott and Patricia Arquette and a maze-like workplace set design that screams “NO EXIT.”"
Severance,1,"Severence will feel familiar, even if you cant rattle off a list of influences and contemporaries, but that's never a problem  Severance is very much a case of if you cant be the first, then be the best in action."
Severance,1,"Written and created by Dan Erickson with episodes directed by Ben Stiller, there’s a dark humor, absurdist vibe that, alongside the mysteries, makes Severance appealing. But some of that interest gets undone by over-long episodes and a thudding pace."
Severance,1,"I can report that Severance does not suck, though it takes about an episode and change to eventually transcend what had seemed like hard limits on viewer engagement."
Severance,1,"Light escapism it isn't. But until the show's fictional technology becomes reality, a series like Severance is just the sort of cerebral concept to help take one's mind off the daily grind of working 9 to 5."
Severance,1,"""Severance"" couldn't be more different from [Stiller's] last directorial success, the glum drama ""Escape at Dannemora."" But it's just as provocative."
Severance,1,"Funny, terrifying, and brilliant in equal measure, Apple TV+s Severance is one of the most impressive new shows of the last couple years."
Severance,1,"Creator Dan Erickson whips up something unique, intriguing and alarming; one of the first great series of 2022. Don’t miss it."
Severance,1,"For me, the world of this series is so fully imagined, so refreshingly singular — plus it just keeps on getting weirder — that I was only too happy to strap in, and was grateful I did."
Severance,1,"Even with all the ingredients of cast and crew, it would be so easy to bungle a show this tricky and high-concept. But “Severance” succeeds with a structure that works both as a weekend binge as well as one that can be enjoyed in weekly installments."
